name,google_place_id,search_query,latitude,longitude,address,average_rating,review_count,category,description,description_original
Celestial Garden,ChIJU4E_P7yeqTMRmYjKAQ_D5kY,tourist attractions in Cebu City,10.3141588,123.8673687,"8V78+MW9, Cebu City, 6000 Cebu, Philippines",3.8,31.0,religious,"Celestial Garden religious Location: Busay, (uphill) Cebu City — just near Tops Lookout, approx. 2 hours away from Mactan Airport. | What to expect: Pyramid sheds, Flower gardens, Pool cemetery tourist attraction service","Location: Busay, (uphill) Cebu City — just near Tops Lookout, approx. 2 hours away from Mactan Airport. | What to expect: Pyramid sheds, Flower gardens, Pool"
The Cube - SM Seaside City,ChIJXZDS_wqcqTMRtjB3-gvX4X4,tourist attractions in Cebu City,10.281869900000002,123.8830231,"SM Seaside City, 7VJM+P6R, Cebu South Coastal Rd, Cebu City, 6000 Cebu, Philippines",4.3,385.0,history,"The Cube - SM Seaside City history Location: South Road Properties, Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Dancing fountains, Restaurants, Cinemas, Shopping mall (soon-to-open) landmark tourist attraction","Location: South Road Properties, Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Dancing fountains, Restaurants, Cinemas, Shopping mall (soon-to-open)"
Cebu Taoist Temple,ChIJ8ZcMGyuZqTMRh0kBRAhSv_o,tourist attractions in Cebu City,10.3342483,123.8879843,"8VMQ+M5X, Cebu City, 6000 Cebu, Philippines",4.3,2094.0,religious,"Cebu Taoist Temple religious Brightly painted hillside pagodas & prayer halls with striking dragon designs & views over the city. place of worship association or organization Location: Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: Authentic, castle-like Chinese temple",Brightly painted hillside pagodas & prayer halls with striking dragon designs & views over the city.
Downtown Cebu City,ChIJtUqLDKibqTMRvX48jFWyLX8,tourist attractions in Cebu City,10.2962772,123.8982283,"7VWX+G79, Cebu City, 6000 Cebu, Philippines",3.6,10.0,attraction,"Downtown Cebu City attraction Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens tourist attraction","Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens"
Budlaan Falls,ChIJSWEB-vehqTMRqKcQS5qhODE,tourist attractions in Cebu City,10.3858992,123.88509779999998,"9VPP+925, Apas, Cebu City, 6000 Cebu, Philippines",4.3,216.0,attraction,"Budlaan Falls attraction Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity tourist attraction","Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity"
Cebu Kilometer Zero,ChIJadEVV0yZqTMRekT3PI-8Jwc,tourist attractions in Cebu City,10.3163291,123.89083339999998,"8V8R+G8P, Cebu Provincial Capitol, Cebu City, 6000 Cebu, Philippines",4.8,9.0,attraction,"Cebu Kilometer Zero attraction Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens tourist attraction","Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens"
1730 Jesuit House,ChIJQYJWH1-ZqTMRL8vTiCw8NSk,tourist attractions in Cebu City,10.2986579,123.9040433,"26 Zulueta St, Cebu City, 6000 Cebu, Philippines",4.6,194.0,museum,"1730 Jesuit House museum Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: 18th century house remarkably preserved behind big walls in the heart of Parian district museum tourist attraction","Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: 18th century house remarkably preserved behind big walls in the heart of Parian district"
Colon Obelisk arcae,ChIJ4dWUPl-ZqTMRRAXUfxKt42s,tourist attractions in Cebu City,10.2979797,123.9036644,"Colon St, Cebu City, 6000 Cebu, Philippines",3.6,60.0,history,"Colon Obelisk arcae history Colon Obelisk arcae is a history located in Cebu, Philippines. historical landmark tourist attraction historical place","Colon Obelisk arcae is a history located in Cebu, Philippines."
Heritage of Cebu Monument,ChIJhwbYF6KhqTMRnblKTxe9bqo,tourist attractions in Cebu City,10.2988468,123.9035745,"7WX3+GCP, Sikatuna St, Cebu City, 6000 Cebu, Philippines",4.3,1020.0,history,"Heritage of Cebu Monument history Series of sculptures commemorating important events & buildings from Cebu's colonial past. historical landmark tourist attraction park historical place Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: Huge sculptures made of concrete, bronze, brass and steel showing scenes about events and structures related to the history of Cebu",Series of sculptures commemorating important events & buildings from Cebu's colonial past.
Plaza Independencia,ChIJ1x1EHOGbqTMR5_q34HlTerk,tourist attractions in Cebu City,10.2931907,123.90512619999998,"7WV4+73C, CSCR Tunl, Cebu City, 6000 Cebu, Philippines",4.4,1653.0,nature,"Plaza Independencia nature Historic square & community hangout, well-known for its open, grassy field for picnics & recreation. city park tourist attraction park","Historic square & community hangout, well-known for its open, grassy field for picnics & recreation."
Taboan Public Market,ChIJocIZfv6bqTMRMHD_dmj-wqg,tourist attractions in Cebu City,10.295522,123.8911419,"Cebu City, 6000 Cebu, Philippines",4.3,5986.0,shopping,"Taboan Public Market shopping Indoor market hall with stalls selling colorful local produce & heaped baskets of dried fish. market tourist attraction Location: Carbon Public Market, Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Cebu’s cheap but great finds",Indoor market hall with stalls selling colorful local produce & heaped baskets of dried fish.
Sugbu Chinese Heritage Museum,ChIJAaoG--ObqTMRRGDPktel7bk,tourist attractions in Cebu City,10.2923284,123.9019282,"7WR2+XQP Gotiaoco, Building M. C. Briones St, Cebu City, 6000 Cebu, Philippines",4.0,68.0,history,"Sugbu Chinese Heritage Museum history Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: House museum history museum tourist attraction museum","Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: House museum"
Cebu City Seawall,ChIJpbDccACbqTMRJYVjO8bttgI,tourist attractions in Cebu City,10.2909786,123.9031102,"7WR3+96X, M. J. Cuenco Ave, Cebu City, 6000 Cebu, Philippines",3.7,16.0,attraction,"Cebu City Seawall attraction Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens tourist attraction","Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens"
Rajah Humabon Monument & Humabon Historical Marker,ChIJ__-v5-GbqTMRZsiTt-BnJLw,tourist attractions in Cebu City,10.296025,123.90377519999998,"7WW3+CG6, Humabon, Cebu City, 6000 Cebu, Philippines",3.7,37.0,history,"Rajah Humabon Monument & Humabon Historical Marker history Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: Huge sculptures made of concrete, bronze, brass and steel showing scenes about events and structures related to the history of Cebu historical landmark tourist attraction historical place","Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: Huge sculptures made of concrete, bronze, brass and steel showing scenes about events and structures related to the history of Cebu"
Archdiocesan Museum of Cebu,ChIJT7kt7uGbqTMRE9pS3Ayv3ao,tourist attractions in Cebu City,10.2961373,123.9035625,"7WW3+438, P. Burgos St, Cebu City, 6000 Cebu, Philippines",4.3,360.0,museum,"Archdiocesan Museum of Cebu Museum focusing on the history & culture of regional Catholicism, including colonial-era artifacts. museum tourist attraction Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center","Museum focusing on the history & culture of regional Catholicism, including colonial-era artifacts."
Cebu Metropolitan Cathedral,ChIJlWUN8-GbqTMRepueypood48,tourist attractions in Cebu City,10.2955765,123.90299519999998,"6000 Mabini St, Cebu City, 6000 Cebu, Philippines",4.7,2192.0,religious,"Cebu Metropolitan Cathedral religious Catholic cathedral completed in 1909, featuring an ornate golden altar & a Spanish-colonial facade. tourist attraction church place of worship association or organization Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center","Catholic cathedral completed in 1909, featuring an ornate golden altar & a Spanish-colonial facade."
Cebu Provincial Capitol,ChIJ44n4BUqZqTMRnTzd5jeE0gQ,tourist attractions in Cebu City,10.3168489,123.8906336,"N. Escario St, cor Gov. M. Roa St, Cebu City, 6000 Cebu, Philippines",4.4,116.0,attraction,"Cebu Provincial Capitol attraction Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center local government office bank tourist attraction finance government office","Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center"
Museo Basílica Del Santo Niño,ChIJ0_q_fuGbqTMR7Jtr5sWh-hU,tourist attractions in Cebu City,10.2938775,123.9027079,"7WV3+H34, Cebu City, 6000 Cebu, Philippines",4.4,45.0,museum,"Museo Basílica Del Santo Niño museum Location: Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: One of the oldest churches in Cebu, iconic / historical landmark museum tourist attraction","Location: Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: One of the oldest churches in Cebu, iconic / historical landmark"
Busay Cebu,ChIJO88KUwCfqTMRXjMon7rGBD0,tourist spots in Cebu,10.328264,123.90392589999998,"8WH3+8H3 Bonbon, Cebu City, 6000 Cebu, Philippines",4.8,5.0,attraction,"Busay Cebu attraction Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens tourist attraction","Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens"
Goddess of Mercy,ChIJwQ3KH9qYqTMRiX2vvF5-pcI,tourist spots in Cebu,10.340663,123.8981706,"8VRX+777, Cebu City, 6000 Cebu, Philippines",4.3,10.0,attraction,"Goddess of Mercy attraction Location: Balamban, (uphill) Northernwestern Cebu — approx. 3-4 hours away from Mactan Airport. | What to expect: Horseback riding, Sky Biking, Zip Lining, Camping, Hiking tourist attraction monument","Location: Balamban, (uphill) Northernwestern Cebu — approx. 3-4 hours away from Mactan Airport. | What to expect: Horseback riding, Sky Biking, Zip Lining, Camping, Hiking"
Cebu Ocean Park,ChIJS5JJOgadqTMRUJqM5_VlPyo,tourist spots in Cebu,10.2811506,123.8785948,"7VJH+97X SM Seaside Complex, F. Vestil St, Cebu City, 6000 Cebu, Philippines",4.4,4562.0,entertainment,"Cebu Ocean Park entertainment Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center aquarium wildlife park zoo park We are the largest Oceanarium in the Philippines aiming to provide both our visitors and community a unique marine-life experience to achieve our dream to educate, conserve and inspire. What drives…","Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center"
Pillar of wisdom,ChIJR3ruO0WfqTMRGBL1kQa3o_k,tourist spots in Cebu,10.3209856,123.879426,"8VCH+9QV, Cebu City, 6000 Cebu, Philippines",5.0,6.0,attraction,"Pillar of wisdom attraction Location: Balamban, (uphill) Northernwestern Cebu — approx. 3-4 hours away from Mactan Airport. | What to expect: Horseback riding, Sky Biking, Zip Lining, Camping, Hiking tourist attraction","Location: Balamban, (uphill) Northernwestern Cebu — approx. 3-4 hours away from Mactan Airport. | What to expect: Horseback riding, Sky Biking, Zip Lining, Camping, Hiking"
Carbon Market,ChIJkw4YkuSbqTMRj-KNt73Rp_w,tourist spots in Cebu,10.2914389,123.899131,"59 M. C. Briones St, Cebu City, 6000 Cebu, Philippines",4.2,7429.0,shopping,"Carbon Market shopping Bustling open-air market offering a wide variety of local produce, seafood & dry goods. market tourist attraction Location: Carbon Public Market, Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Cebu’s cheap but great finds","Bustling open-air market offering a wide variety of local produce, seafood & dry goods."
Jose Rizal Monument,ChIJkdhu5OObqTMRKja-3osRDPM,tourist spots in Cebu,10.2927854,123.9021054,"7WV2+4R9, Cebu City, 6000 Cebu, Philippines",4.0,8.0,history,"Jose Rizal Monument history Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: Huge sculptures made of concrete, bronze, brass and steel showing scenes about events and structures related to the history of Cebu historical landmark tourist attraction historical place","Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: Huge sculptures made of concrete, bronze, brass and steel showing scenes about events and structures related to the history of Cebu"
Cebu Veterans Memorial,ChIJEXt_JeGbqTMRBiTzDaj6YkE,tourist spots in Cebu,10.2922783,123.9046116,"Cebu City, 6000 Cebu, Philippines",4.7,9.0,history,"Cebu Veterans Memorial history Location: Barangay Umapad, Mandaue City, Cebu — near the tip of Marcelo Fernan Bridge in Mandaue City side. — approx. 15-20 minutes away from Mactan Airport. | What to expect: 7 Amazing Water Slides, Giant Wave Pool, Carnival Place, Hotel Facility historical landmark tourist attraction historical place","Location: Barangay Umapad, Mandaue City, Cebu — near the tip of Marcelo Fernan Bridge in Mandaue City side. — approx. 15-20 minutes away from Mactan Airport. | What to expect: 7 Amazing Water Slides, Giant Wave Pool, Carnival Place, Hotel Facility"
Eukaristiya - Garden of Thanksgiving,ChIJ5-E8c0WZqTMRl_XfV23NVlI,tourist spots in Cebu,10.3088152,123.8982514,"8V5X+G8C, Cebu City, 6000 Cebu, Philippines",4.5,4.0,nature,"Eukaristiya - Garden of Thanksgiving nature Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Majestic structures, Overlooking view park","Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Majestic structures, Overlooking view"
Pier Jays Fishing Spot,ChIJkZqKMgCbqTMRzNY50ysUixQ,tourist spots in Cebu,10.2900451,123.9010271,"7WR2+34F, Cebu City, 6000 Cebu, Philippines",1.0,2.0,attraction,"Pier Jays Fishing Spot attraction Pier Jays Fishing Spot is a attraction located in Cebu, Philippines. tourist attraction","Pier Jays Fishing Spot is a attraction located in Cebu, Philippines."
Little Amsterdam of Cebu,ChIJJ6QUUPKhqTMRNu715p48jA8,things to do in Cebu,10.4068272,123.8667074,"CV48+PMP, Cebu City, 6000 Cebu, Philippines",4.2,58.0,nature,"Little Amsterdam of Cebu nature Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center botanical garden","Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center"
Cancalanog Falls,ChIJrUuKapKVqzMRQvxRUEQqaqc,things to do in Cebu,9.7725004,123.3806219,"Q9FJ+265, Unnamed Road, Alegria, Cebu, Philippines",4.4,187.0,attraction,"Cancalanog Falls attraction Location: Alegria, Southern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Waterfalls, 45 min trek tourist attraction","Location: Alegria, Southern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Waterfalls, 45 min trek"
Binalayan Hidden Falls,ChIJAQAAAJGdqzMRCm_lZQIGNNs,things to do in Cebu,9.5143864,123.3023926,"G872+QX2, Samboan, Cebu, Philippines",4.7,360.0,attraction,"Binalayan Hidden Falls attraction Brief hike to a secluded swimming hole under a towering cascade, with accessible jumping ledges. tourist attraction hiking area sports activity location Location: Pinamungajan, Western Cebu — approx. 3 hours away from Mactan Airport. | What to expect: Biggest wave pool in Cebu, Zip Line, Sky Bike","Brief hike to a secluded swimming hole under a towering cascade, with accessible jumping ledges."
Celosia Flower Farm,ChIJ-5U3mZehqTMRyboNdkeoXsQ,things to do in Cebu,10.4071784,123.8655663,"CV48+V6G, Cebu City, 6000 Cebu, Philippines",4.4,80.0,nature,"Celosia Flower Farm nature Location: Carcar City, Southern Cebu — approx. 3.5 hours away from Mactan Airport. | What to expect: Flower garden, Glamping, Instagrammable spots garden tourist attraction","Location: Carcar City, Southern Cebu — approx. 3.5 hours away from Mactan Airport. | What to expect: Flower garden, Glamping, Instagrammable spots"
Mantayupan Falls,ChIJeX8MgLLYqzMRue1rgnb9bHY,things to do in Cebu,10.1007268,123.5360115,"Philippines, Cebu, Barili, Unnamed Road、",4.6,962.0,attraction,"Mantayupan Falls attraction Swimming & hiking at waterfalls ringed by vine-covered cliffs & high-altitude tropical forest. tourist attraction Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity",Swimming & hiking at waterfalls ringed by vine-covered cliffs & high-altitude tropical forest.
Cambais Falls,ChIJG307GL6WqzMRTsYGmmkWu7k,things to do in Cebu,9.7423355,123.3881083,"P9RQ+W6Q, Alegria, Cebu, Philippines",4.5,270.0,attraction,"Cambais Falls attraction Gentle, secluded cascade amid dense jungle, with a pool popular for swimming & cliff jumping. tourist attraction Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity","Gentle, secluded cascade amid dense jungle, with a pool popular for swimming & cliff jumping."
Kawasan Falls,ChIJzaFdmHHAqzMRzyRjfu-ZeDU,things to do in Cebu,9.8035007,123.3743315,"Badian, Cebu, Philippines",4.5,5720.0,nature,"Kawasan Falls nature Trio of picturesque waterfalls into natural swimming pools & lagoons, accessible via jungle trails. scenic spot tourist attraction Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity We specialize in organizing and facilitating travel experiences for individuals or groups visiting Cebu. We offer a wide range of services such as arranging transportation, planning itineraries, and…","Trio of picturesque waterfalls into natural swimming pools & lagoons, accessible via jungle trails."
Lusno Falls,ChIJjwZQ6IvcqzMR0WqHoCd4ap4,things to do in Cebu,9.9913375,123.5060469,"XGR4+GCM, Ronda, Cebu, Philippines",4.4,103.0,attraction,"Lusno Falls attraction Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity tourist attraction","Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity"
Kabutongan Falls,ChIJ56x_EsGbqzMR-DcsH4m41Z8,things to do in Cebu,9.6126257,123.328926,"J87H+3H3, Ginatilan, Cebu, Philippines",3.9,170.0,attraction,"Kabutongan Falls attraction Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity tourist attraction","Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity"
Dao Falls,ChIJL_Kb3FidqzMRBxynW5Qfs0I,things to do in Cebu,9.544058,123.3156079,"Samboan, Cebu, Philippines",4.3,322.0,attraction,"Dao Falls attraction Location: Samboan, Southern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Waterfalls, 15-20 min trek tourist attraction","Location: Samboan, Southern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Waterfalls, 15-20 min trek"
Inambakan Falls,ChIJ4bgwIiOcqzMROg1NpXKtrcA,things to do in Cebu,9.5686298,123.3386582,"Ginatilan, Cebu, Philippines",4.5,687.0,attraction,"Inambakan Falls attraction Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity tourist attraction","Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity"
Cebu City Tour,ChIJe4fNPUCZqTMR5ifh0jqkDSg,things to do in Cebu,10.3356577,123.8975094,"1235 B PC Hills, Apas, Cebu City, 6000 Cebu, Philippines",4.5,12.0,attraction,"Cebu City Tour attraction Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens tour agency travel agency service","Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens"
Kanlaob Falls,ChIJOeNmWACVqzMRVj54zGvmqAc,things to do in Cebu,9.7866724,123.3794391,"Q9PH+MQ, Alegria, Cebu, Philippines",4.5,22.0,attraction,"Kanlaob Falls attraction Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity tourist attraction","Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity"
University of San Carlos Museum,ChIJQRl4S1iZqTMRZzvp3uOXAFg,things to do in Cebu,10.300141,123.8983322,"8V2X+384, Pelaez St, Cebu City, 6000 Cebu, Philippines",4.5,394.0,museum,"University of San Carlos Museum Opened in 1967, this university history museum houses archaeological & biological exhibits. museum tourist attraction Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Majestic structures, Overlooking view","Opened in 1967, this university history museum houses archaeological & biological exhibits."
Cebu Kartzone Track,ChIJfcqOsBqZqTMR-AN8c3kGw_I,things to do in Cebu,10.3247149,123.9185205,"8WF9+VCJ, F. Cabahug St, Cebu City, 6000 Cebu, Philippines",4.2,447.0,entertainment,"Cebu Kartzone Track entertainment Location: F. Cabahug St. Kasambagan, Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Karting or kart racing go karting venue race course sports activity location event venue","Location: F. Cabahug St. Kasambagan, Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Karting or kart racing"
